P_si1_4-29	P_si1_4-30	P_si1_5-8	P_siNC_4-29	P_siNC_4-30	P_siNC_5-8
HPCA	3	8	5	7	10	4
TMEM54	356	329	304	430	362	324
RNF19B	770	559	765	947	621	795
FKSG48	0	2	1	3	0	0
RP1-117O3.2	4	2	2	3	2	1
AK2	4655	5356	5176	4794	4764	4819
ADC	54	73	39	43	68	38
TRIM62	392	482	357	492	432	348
ZNF362	316	400	317	335	358	266
RP11-415J8.7	6	6	3	7	1	3
A3GALT2	1	1	2	3	2	5
RP11-415J8.3	22	25	11	31	24	26
PHC2	3573	3290	3772	3715	3122	3372
RP11-415J8.5	10	5	3	7	3	4
ZSCAN20	187	213	231	157	151	191
CSMD2	27	29	31	33	44	52
HMGB4	2	3	1	4	1	5
RP5-1007G16.1	1	2	5	3	1	8
C1orf94	4	1	0	1	2	8
SMIM12	861	722	903	976	730	886
GJB5	4	6	2	8	5	2
GJB4	2	1	1	0	9	5
RP1-34M23.5	0	0	1	0	2	2
GJB3	72	37	88	112	58	122
GJA4	3	2	0	1	2	7
RP5-997D16.2	28	20	20	14	16	13
DLGAP3	5	9	8	10	22	11
ZMYM6NB	1	2	2	2	3	0
ZMYM6	105	141	106	128	149	120
ZMYM1	412	500	446	606	614	535
SFPQ	6540	8346	7431	6357	7346	6298
ZMYM4	1729	1909	1754	1787	1598	1493
ZMYM4-AS1	0	0	0	0	2	1
KIAA0319L	2000	2143	2078	1785	1731	1788
NCDN	1825	1491	1675	1954	1634	1505
RP4-728D4.2	9	5	7	8	5	4
TFAP2E	36	29	38	30	30	28
PSMB2	3888	3490	3756	4131	3254	3074
C1orf216	816	765	821	840	674	642
CLSPN	947	774	826	1052	810	765
RP11-435D7.3	0	1	0	0	4	0
AGO4	472	498	466	444	424	398
AGO1	1758	1823	1823	1742	1625	1515
RP4-789D17.5	2	5	1	2	1	2
AGO3	803	753	791	828	770	754
RP4-665N4.8	2	0	0	4	3	1
TEKT2	3	2	2	6	7	5
ADPRHL2	817	779	866	892	728	773
COL8A2	23	27	15	24	34	21
TRAPPC3	1485	1468	1453	1579	1375	1413
MAP7D1	5093	4535	4559	4221	3540	3595
THRAP3	4134	4366	4283	3776	3606	3540
SH3D21	300	460	357	360	513	435
EVA1B	390	402	380	461	399	340
RP11-268J15.5	88	144	106	91	153	164
STK40	2708	1814	3049	1771	1159	1637
LSM10	767	668	929	972	732	873
OSCP1	73	91	53	44	53	53
MRPS15	1469	1461	1571	1551	1325	1307
CSF3R	14	21	11	11	12	15
RP4-614N24.1	2	0	0	1	1	1
GRIK3	10	10	12	5	21	21
RP5-1180C18.1	2	3	2	0	1	0
LINC01137	50	49	83	73	57	60
ZC3H12A	270	266	295	398	381	345
MEAF6	583	710	601	610	563	624
SNIP1	583	547	553	619	517	563
DNALI1	9	5	4	5	5	7
GNL2	1998	2037	2291	2369	2103	2441
RSPO1	5	8	1	6	6	5
C1orf109	758	713	774	869	751	763
CDCA8	2866	2783	3123	2852	2484	2626
EPHA10	98	85	113	118	120	104
MANEAL	787	601	789	983	676	705
YRDC	402	410	426	410	377	362
C1orf122	804	767	752	758	605	607
MTF1	1121	992	1122	866	650	767
AL929472.1	1	0	1	0	1	0
INPP5B	382	381	461	446	377	413
SF3A3	2938	2843	3009	2703	2459	2434
FHL3	300	250	298	286	205	274
UTP11L	758	745	790	871	813	890
POU3F1	0	1	5	6	3	2
RP5-884C9.2	1	3	1	2	3	3
RP11-214L19.1	5	0	0	2	1	4
RP11-329N22.1	1	1	2	0	1	0
RRAGC	610	696	651	892	735	822
RP5-864K19.4	15	18	15	31	16	14
MYCBP	439	417	358	335	355	309
GJA9	0	0	0	1	0	0
RHBDL2	37	52	51	44	52	54
AKIRIN1	2303	2689	2710	2306	2500	2295
NDUFS5	2578	2971	2460	2740	2768	2835
MACF1	11208	10064	11603	11062	9910	10202
RP11-420K8.1	0	0	2	2	1	2
KIAA0754	519	381	459	501	364	456
BMP8A	11	3	6	10	14	7
RP11-69E11.4	21	9	16	19	24	26
PABPC4	3058	2688	3497	3740	2710	3387
RP11-69E11.8	4	6	4	4	2	3
HEYL	108	119	107	137	117	110
RP1-144F13.3	0	0	0	0	1	0
NT5C1A	4	2	2	3	3	5
HPCAL4	10	12	9	10	17	8
PPIE	1181	1262	1323	1341	1142	1074
BMP8B	155	164	164	175	198	165
OXCT2	15	19	21	16	22	11
RP1-118J21.25	5	12	6	14	4	10
TRIT1	460	571	599	519	500	521
MYCL	27	48	31	26	40	20
RP1-118J21.5	1	4	1	1	0	2
MFSD2A	45	53	64	113	93	96
CAP1	10586	10812	10458	11380	9408	9464
PPT1	3991	4139	4227	3522	2907	2978
RLF	744	883	898	885	862	936
TMCO2	2	4	2	0	2	0
RP1-39G22.7	43	47	40	32	34	26
ZMPSTE24	1868	1931	1903	1924	1699	1687
COL9A2	11	24	17	11	26	19
SMAP2	932	997	898	888	900	908
ZFP69B	215	266	273	203	211	235
ZFP69	170	184	212	198	183	192
RP11-656D10.3	9	4	5	7	12	14
EXO5	179	177	149	153	125	146
RP11-656D10.5	0	0	0	0	0	1
RP11-656D10.6	5	4	4	6	4	5
ZNF684	98	97	104	87	69	66
RIMS3	120	297	95	168	269	107
RP4-739H11.3	3	4	4	4	4	3
NFYC-AS1	20	21	21	24	20	17
NFYC	1524	1358	1358	1688	1373	1344
KCNQ4	48	64	38	48	42	30
CITED4	587	817	552	693	716	485
RP5-1066H13.4	0	1	2	2	1	2
CTPS1	6263	5718	6939	6038	5308	5892
SLFNL1	365	276	403	448	323	377
SCMH1	793	792	769	701	602	663
RP11-399E6.1	8	1	1	2	5	3
FOXO6	31	40	29	41	36	33
RP11-399E6.4	2	3	1	1	2	1
EDN2	5	4	7	12	5	6
HIVEP3	233	243	193	216	209	182
RP11-486B10.3	1	0	3	0	1	1
GUCA2B	5	3	2	1	2	4
GUCA2A	0	1	1	4	3	1
FOXJ3	1333	1508	1419	1392	1358	1202
RIMKLA	285	430	325	468	510	438
ZMYND12	6	18	15	9	12	7
PPCS	823	1016	936	1014	1057	850
CCDC30	36	45	30	36	29	37
PPIH	734	793	820	831	741	739
RP5-994D16.3	2	2	0	4	3	3
YBX1	20095	20322	19776	22162	19274	18731
CLDN19	2	7	6	3	4	11
LEPRE1	2038	1970	1898	1916	1441	1513
C1orf50	163	186	169	189	160	155
RP5-994D16.9	16	21	20	22	22	22
CCDC23	95	131	127	155	123	138
ERMAP	123	140	170	139	121	122
RP11-342M1.3	5	5	6	7	3	4
ZNF691	198	235	245	186	180	178
SLC2A1	2123	1908	3246	2000	1703	3384
SLC2A1-AS1	11	8	6	8	13	9
FAM183A	3	6	10	5	7	15
EBNA1BP2	4903	4339	5270	5387	3956	5080
WDR65	46	50	53	30	43	48
TMEM125	3	1	3	1	3	4
C1orf210	4	0	0	1	4	2
TIE1	8	14	12	7	16	13
MPL	8	7	6	4	12	16
RP1-92O14.3	22	21	23	19	15	21
CDC20	6522	5022	5852	7409	5054	5749
ELOVL1	1894	2054	1929	1853	1618	1681
MED8	873	922	977	939	731	782
RP1-92O14.6	21	26	15	25	23	26
SZT2	1311	1282	1418	1390	1358	1307
HYI	197	182	196	182	206	179
HYI-AS1	3	3	4	4	6	5
PTPRF	3924	3660	4838	4212	3419	4100
KDM4A	1343	1228	1477	1351	1182	1220
KDM4A-AS1	46	47	45	45	59	37
ST3GAL3	237	256	248	208	184	193
RP11-184I16.4	2	1	2	3	4	4
ARTN	7	10	11	8	5	16
RP11-7O11.3	17	28	39	26	23	26
IPO13	1478	1287	1493	1269	994	1173
DPH2	1663	1500	1734	1816	1443	1512
ATP6V0B	1686	1587	1770	1885	1513	1528
B4GALT2	1833	1699	1823	2228	1852	1847
CCDC24	198	331	204	185	260	180
SLC6A9	422	349	568	531	412	570
RP5-1198O20.4	18	9	10	12	12	12
KLF17	1	1	2	2	6	5
DMAP1	1112	1126	1141	1202	1153	1051
ERI3	1477	1367	1486	1664	1361	1305
RNF220	1138	1157	1106	1074	992	985
TMEM53	119	146	105	153	159	117
C1orf228	6	16	7	15	13	12
KIF2C	3384	3420	3694	3283	2879	2913
RP11-269F19.2	5	4	9	13	8	8
RPS8	10561	11575	12521	9802	10130	10332
BEST4	1	8	3	6	3	3
PLK3	190	157	260	210	172	238
TCTEX1D4	11	4	13	16	11	15
BTBD19	37	25	48	43	16	61
PTCH2	17	14	15	18	23	26
EIF2B3	687	641	710	656	534	609
HECTD3	1078	1146	1194	1170	1065	1021
UROD	1159	1253	1192	1355	1090	1074
ZSWIM5	279	326	285	209	201	249
HPDL	4	4	7	9	14	14
MUTYH	438	414	403	439	365	416
TOE1	523	469	524	637	426	535
TESK2	60	92	69	100	107	61
CCDC163P	129	143	134	134	128	127
MMACHC	403	390	362	435	412	368
PRDX1	9368	10256	10959	11321	10145	10440
AKR1A1	993	972	936	1064	893	867
NASP	4802	5456	5036	3871	4121	3400
CCDC17	32	38	42	44	36	28
GPBP1L1	2385	2490	2385	1850	1745	1670
TMEM69	405	515	473	492	456	457
IPP	430	513	478	457	410	397
MAST2	4252	4050	3786	3852	3064	2896
PIK3R3	1233	1320	1145	1519	1451	1169
RP4-533D7.4	2	2	1	1	2	2
RP4-533D7.5	4	2	7	4	7	2
TSPAN1	43	41	58	67	51	75
POMGNT1	3013	2582	2693	2297	1735	1905
LURAP1	5	12	12	16	14	13
RAD54L	643	565	539	588	500	387
LRRC41	1597	1544	1605	1729	1415	1393
UQCRH	3122	3994	3666	3124	4011	3911
NSUN4	409	398	458	448	406	451
FAAH	198	209	189	220	217	202
RP5-1109J22.2	4	1	0	2	3	3
LINC00505	0	1	1	0	0	3
DMBX1	6	14	4	18	13	15
MKNK1-AS1	12	22	6	16	12	13
KNCN	3	2	2	3	3	0
MKNK1	605	646	669	739	590	559
MOB3C	125	179	118	159	135	104
ATPAF1	873	1035	963	934	924	759
EFCAB14	2895	3652	3145	3007	2584	2485
TEX38	2	3	3	0	3	1
EFCAB14-AS1	6	5	5	4	2	2
CYP4B1	5	4	10	8	7	13
CYP4A11	5	6	4	6	3	8
CYP4X1	3	4	0	5	5	6
CYP4Z1	3	4	2	4	5	4
CYP4A22-AS1	2	1	2	1	4	4
CYP4A22	2	1	5	5	10	7
LINC00853	1	1	0	0	1	2
PDZK1IP1	4	0	0	2	1	0
TAL1	4	6	4	7	7	12
RP1-18D14.7	1	0	3	1	2	5
STIL	1250	1311	1296	1426	1206	1127
CMPK1	1488	1532	1641	1867	1681	1607
RP11-511I2.2	1	2	4	4	6	8
FOXE3	3	0	1	5	1	3
FOXD2-AS1	93	90	76	94	62	55
FOXD2	115	95	84	103	87	75
RP11-543D5.1	1	1	0	0	1	0
TRABD2B	7	5	2	6	8	11
RP11-330M19.1	2	0	0	0	5	1
RP4-683M8.2	1	0	1	1	4	3
RP11-193P11.3	1	0	2	0	1	2
RP5-1024N4.2	0	3	1	0	0	3
SLC5A9	10	5	18	16	12	14
RP5-1024N4.4	3	1	1	0	1	3
SPATA6	128	196	183	153	209	179
AGBL4	8	8	7	4	10	11
BEND5	1	2	2	1	5	5
RP11-141A19.1	2	1	1	2	0	2
RP11-141A19.2	2	2	0	3	2	2
AL645730.2	0	0	2	0	2	0
ELAVL4	4	6	8	5	8	10
RP11-567C20.2	1	0	0	0	1	1
RP11-567C20.3	0	0	0	1	0	1
DMRTA2	3	3	1	3	4	1
RP5-850O15.4	0	0	2	2	1	1
FAF1	1979	2044	2153	1896	1645	1739
RP5-850O15.3	2	3	3	5	2	0
CDKN2C	1601	1886	1507	1465	1560	1211
C1orf185	2	2	3	3	0	3
RP11-296A18.3	2	0	2	4	2	2
RNF11	1504	1590	1392	1409	1314	1212
RP11-296A18.6	0	1	1	2	2	2
TTC39A	46	60	46	43	61	58
RP11-275F13.1	2	0	2	0	1	1
EPS15	812	982	895	828	765	826
RP11-253A20.1	1	1	5	0	1	0
RP11-191G24.1	4	1	2	2	1	2
OSBPL9	1608	2079	1726	1571	1500	1448
NRD1	4126	4297	4216	4088	3744	3391
RP4-657D16.3	24	31	31	22	26	23
RP4-657D16.6	0	2	0	0	0	0
RAB3B	409	374	491	608	558	637
TXNDC12	2031	2444	2403	1621	1568	1717
KTI12	243	238	253	296	228	240
RP11-91A18.4	1	0	1	2	3	1
TXNDC12-AS1	0	1	5	6	4	3
BTF3L4	928	961	1103	1025	1036	1029
ZFYVE9	576	758	738	656	655	621
CC2D1B	1508	1369	1508	1574	1246	1251
RP11-155O18.6	6	5	5	5	4	4
ORC1	739	650	730	793	542	552
PRPF38A	1221	1203	1190	1186	1091	1149
ZCCHC11	1517	1888	1496	1479	1499	1251
RP11-25O10.2	2	1	0	2	2	1
GPX7	41	47	29	39	41	30
FAM159A	4	6	3	4	4	6
COA7	796	708	734	825	754	647
ZYG11B	717	830	711	842	779	667
ZYG11A	3	5	9	6	9	13
RP4-631H13.2	0	2	1	0	1	1
ECHDC2	761	1108	958	942	1007	912
SCP2	1298	1920	1356	1455	1571	1254
PODN	7	4	4	3	6	12
SLC1A7	9	12	10	5	28	20
RP11-334A14.8	1	1	2	1	4	3
CPT2	435	552	527	478	457	417
C1orf123	719	705	703	780	613	672
RP5-1024G6.7	4	2	7	5	3	2
MAGOH	752	785	806	778	668	806
RP5-1024G6.5	12	16	17	10	16	9
RP5-1024G6.8	75	82	139	112	102	131
LRP8	1265	1143	1490	1749	1468	1641
RP4-784A16.2	0	3	2	1	2	1
RP4-784A16.4	8	8	10	29	8	22
RP4-784A16.5	0	2	2	2	3	4
RP11-117D22.1	1	0	0	1	1	0
RP11-117D22.2	0	1	2	0	1	2
DMRTB1	2	6	1	1	3	5
GLIS1	131	101	198	155	138	164
NDC1	2415	2411	2451	2093	2003	2192
YIPF1	404	496	372	410	400	396
DIO1	5	6	8	10	14	9
HSPB11	289	419	350	401	374	320
LRRC42	934	939	895	836	848	747
LDLRAD1	4	2	2	3	3	10
RP4-758J24.5	21	14	24	19	19	17
TMEM59	1064	1471	1207	1157	1205	1081
TCEANC2	256	290	298	222	229	225
AL161915.1	17	19	13	20	11	16
CDCP2	6	1	1	3	2	4
RP11-446E24.4	1	1	1	1	1	3
AL357673.1	166	135	187	105	88	99
CYB5RL	241	220	253	188	139	187
MRPL37	2671	2548	2736	3255	2490	2653
SSBP3	378	567	266	328	489	225
SSBP3-AS1	3	7	5	4	6	1
RP5-997D24.3	2	0	1	1	2	1
RP4-705F19.1	2	0	3	0	0	3
RP5-866L20.1	1	1	1	0	2	2
ACOT11	43	47	37	52	65	55
FAM151A	3	6	5	2	10	3
MROH7-TTC4	1	0	0	1	0	0
MROH7	2	3	1	4	6	3
TTC4	36	31	45	47	32	34
PARS2	202	246	251	217	177	194
TTC22	7	8	6	5	4	14
RP11-67L3.2	1	1	0	1	4	3
C1orf177	3	0	5	5	5	7
DHCR24	5125	5668	4015	5344	5158	3641
RP11-67L3.5	0	1	1	1	0	0
RP11-67L3.4	2	2	1	2	3	5
TMEM61	1	1	0	0	2	1
BSND	3	1	2	3	4	5
PCSK9	7	9	3	5	9	10
USP24	4301	4464	4231	4024	3865	3344
RP11-101C11.1	0	0	2	2	1	2
RP11-466L17.1	3	5	3	3	5	9
RP11-90C4.1	1	0	0	2	4	0
RP11-90C4.2	1	1	0	0	1	0
RP11-90C4.3	0	0	0	1	0	0
RP1-158P9.1	3	1	1	0	1	3
RP11-504A18.1	5	1	2	1	2	2
RP4-710M16.2	2	0	0	4	1	2
PPAP2B	312	336	262	476	496	324
PRKAA2	509	735	514	522	583	434
C1orf168	10	6	11	13	12	10
RP11-378I13.1	1	4	2	1	3	3
C8A	4	5	1	6	5	4
C8B	6	3	8	6	7	10
RP5-1103B4.3	1	0	1	0	0	0
DAB1	6	7	4	10	9	14
RP6-102O10.1	0	0	4	0	1	2
DAB1-AS1	3	9	7	7	8	11
RP11-393I23.4	2	5	0	0	1	2
OMA1	255	334	284	250	262	255
TACSTD2	3	3	0	1	4	3
MYSM1	842	1089	1037	772	901	866
JUN	1917	1273	2805	2138	1460	2631
LINC01135	1	1	2	2	7	2
RP11-63G10.3	3	2	1	0	1	3
RP11-63G10.2	1	0	0	3	2	1
RP4-794H19.1	10	4	12	9	7	9
RP4-794H19.4	2	4	2	3	5	4
RP11-145M4.1	0	0	1	0	0	1
RP11-145M4.2	3	0	0	0	0	0
RP11-145M4.3	2	3	1	1	0	1
RP11-467C18.1	1	0	0	0	0	0
FGGY	95	114	106	107	84	115
RP4-782L23.2	1	0	4	0	0	0
RP4-782L23.1	0	1	2	2	1	4
HOOK1	10	17	14	16	19	16
CYP2J2	2	4	7	2	7	8
C1orf87	5	5	14	10	10	10
RP11-575B7.3	1	3	1	1	0	3
RP11-776H12.1	4	2	1	2	4	4
RP11-436K8.1	2	4	1	2	5	1
NFIA	329	381	355	318	321	283
RP4-668G5.1	7	1	2	2	3	5
RP5-833A20.1	3	3	0	0	3	2
TM2D1	282	388	273	299	288	275
RP11-430G17.3	3	1	2	0	0	2
INADL	448	588	434	484	519	423
L1TD1	3	1	3	3	5	3
KANK4	19	18	7	19	17	13
USP1	1692	1652	1744	1841	1620	1611
DOCK7	1013	1322	1312	989	1104	1049
ANGPTL3	2	3	3	5	6	8
AL138847.1	1	1	3	3	3	2
RP11-230B22.1	5	2	2	3	4	5
ATG4C	205	226	213	215	202	181
RP4-771M4.3	0	0	1	0	2	1
RP11-5P4.1	1	1	2	2	7	0
RP11-5P4.2	0	0	1	0	0	1
RP11-5P4.3	2	1	0	1	1	1
RP11-335E6.2	2	0	0	0	1	6
RP11-335E6.4	5	1	0	1	1	1
LINC00466	9	9	11	18	12	10
RP11-335E6.3	0	0	2	3	3	1
RP4-792G4.2	36	75	39	30	79	54
FOXD3	29	28	22	34	23	26
ALG6	409	492	435	463	437	404
ITGB3BP	428	559	453	397	406	379
EFCAB7	167	220	210	190	192	161
DLEU2L	4	8	6	7	4	1
PGM1	1461	2145	1706	1533	1705	1410
ROR1	691	543	777	789	565	617
RP11-24J23.2	3	12	3	13	5	5
UBE2U	4	0	6	4	4	8
CACHD1	1162	1225	1209	974	920	936
RAVER2	409	501	476	405	495	399
JAK1	5197	5041	4764	6703	6107	5020
RP11-182I10.3	5	3	3	3	9	9
RP4-535B20.4	0	0	1	1	1	0
RP4-535B20.1	0	1	1	0	1	1
AK4	202	308	310	287	444	396
DNAJC6	231	211	190	189	210	159
RP5-1044H5.1	0	2	0	1	2	0
LEPR	90	74	67	78	56	55
LEPROT	919	879	990	1110	910	1025
PDE4B	106	154	124	131	152	111
RP11-397C12.1	0	3	1	2	1	3
SGIP1	88	101	114	87	107	135
AL139147.1	2	4	0	1	5	2
TCTEX1D1	3	2	2	1	5	5
INSL5	0	2	0	0	4	1
WDR78	44	87	63	33	33	44
RP11-342H21.2	0	0	2	1	0	0
MIER1	623	783	686	678	702	661
SLC35D1	370	330	395	542	427	549
C1orf141	7	6	9	6	6	10
IL23R	5	0	4	3	9	3
IL12RB2	13	21	14	13	12	22
SERBP1	8200	7582	8962	10356	8821	9621
RP4-763G1.2	1	2	3	0	1	3
GADD45A	568	550	714	919	786	947
GNG12	2128	2315	2199	2445	2176	2053
GNG12-AS1	16	13	15	12	10	21
DIRAS3	1	3	6	8	6	8
WLS	1448	1418	1480	1572	1316	1540
RPE65	9	8	5	2	8	5
DEPDC1	989	837	1024	1390	1117	1182
RP4-694A7.2	15	13	19	13	12	13
RP4-694A7.4	4	2	7	3	9	5
RP11-424D14.1	0	2	2	1	3	0
RP11-74K19.1	0	1	0	3	3	2
RP3-380B4.1	0	0	0	0	0	2
LRRC7	30	32	32	19	27	39
RP11-181B18.1	2	1	0	1	2	3
LRRC40	465	569	538	499	511	508
SRSF11	2456	3112	2701	2751	2808	2440
RP4-677H15.4	1	1	2	0	4	0
ANKRD13C	724	671	747	686	618	647
HHLA3	117	147	134	127	116	139
RP11-180O5.2	4	3	1	3	2	2
CTH	83	110	77	53	72	69
RP11-42O15.3	1	1	2	1	2	1
RP5-952N6.1	2	2	2	6	9	2
RP11-99H8.1	0	2	0	0	0	3
PTGER3	7	8	10	4	20	7
RP3-333A15.1	0	3	2	1	2	1
ZRANB2-AS1	0	2	3	0	1	3
ZRANB2	995	1391	1082	1151	1183	1114
RP11-386O9.2	0	2	2	2	0	2
NEGR1	59	68	94	50	59	82
RP11-82L20.1	2	0	1	1	0	0
RP4-660H19.1	0	0	0	1	2	0
RP11-262K1.1	1	2	2	1	1	4
RP4-598G3.1	3	2	3	3	9	8
RP4-788P17.1	2	3	4	2	2	2
LRRIQ3	18	29	18	25	19	26
FPGT	175	255	215	197	198	167
FPGT-TNNI3K	1	4	5	7	12	6
TNNI3K	3	3	2	4	7	5
RP11-439H8.4	0	1	3	4	2	1
RP4-650F12.2	0	1	0	1	2	4
LRRC53	4	5	4	5	3	4
C1orf173	13	4	5	6	9	8
RP4-612J11.1	0	1	2	1	1	2
RP11-17E13.2	0	2	1	1	1	0
CRYZ	675	1024	744	770	783	592
TYW3	410	442	456	578	465	426
RP11-93N20.1	2	0	0	0	1	1
RP11-510C10.4	2	1	1	0	3	2
RP11-510C10.2	1	0	0	0	0	2
LHX8	5	2	4	4	5	6
RP11-510C10.3	1	1	0	0	2	4
SLC44A5	25	6	7	13	15	19
RP4-682C21.5	3	3	1	0	0	2
ACADM	1062	1356	1136	1131	1190	997
RABGGTB	1009	1313	1223	902	1090	1036
MSH4	9	5	3	8	7	12
ASB17	1	1	3	0	2	0
RP11-550H2.1	0	1	0	1	2	2
RP11-550H2.2	0	1	0	0	0	0
ST6GALNAC3	7	9	5	4	7	11
RP5-1102E8.3	2	0	0	1	1	2
RP11-415A20.1	3	2	0	0	2	0
ST6GALNAC5	3	2	5	4	7	9
RP4-564M11.2	1	1	2	3	2	4
PIGK	796	836	796	794	692	730
AK5	70	71	101	65	68	97
RP11-375A5.1	1	0	1	1	1	0
ZZZ3	865	820	948	834	721	853
USP33	1230	1382	1327	1250	1275	1070
FAM73A	471	500	441	629	585	544
NEXN-AS1	10	5	10	6	11	17
NEXN	74	87	98	48	65	49
FUBP1	3702	3810	3652	3548	3506	3496
DNAJB4	365	400	349	341	304	287
GIPC2	6	4	3	5	7	10
RP11-386I14.4	2	1	1	2	0	0
PTGFR	5	2	2	2	3	2
IFI44L	8	10	5	6	13	8
IFI44	7	6	5	3	11	9
ELTD1	4	4	8	6	7	4
RP4-726F1.1	2	0	0	2	2	1
RP11-339A11.2	3	0	4	1	1	1
RP11-339D23.1	0	0	0	0	1	0
RP11-115A15.1	0	0	1	2	1	3
RP5-887A10.1	2	1	0	3	2	1
LPHN2	234	292	354	270	264	281
RP5-837I24.2	2	0	4	1	0	2
RP5-837I24.4	1	1	1	2	4	3
RP11-147G16.1	2	0	3	3	2	1
RP4-601K24.1	2	7	4	2	6	5
RP11-170N11.1	2	2	4	0	3	2
RP11-413G15.1	0	1	0	4	0	1
RP11-475O6.1	4	7	3	4	2	9
RP5-836J3.1	1	0	0	0	1	2
TTLL7	785	968	744	865	970	667
RP11-486G15.2	65	71	41	50	59	51
PRKACB	2380	2859	2507	2662	2923	2323
SAMD13	66	104	78	62	96	67
DNASE2B	3	3	3	4	4	5
RPF1	1612	1961	1635	1622	1588	1351
GNG5	3107	3322	3223	3626	2802	3114
CTBS	592	794	592	613	684	533
C1orf180	1	3	5	5	5	3
SSX2IP	1513	1673	1408	1565	1400	1193
LPAR3	15	28	8	13	16	11
MCOLN2	122	123	90	177	192	111
WDR63	13	18	8	11	13	12
MCOLN3	91	64	61	98	74	62
SYDE2	162	146	191	227	179	189
C1orf52	734	866	797	799	748	707
BCL10	525	628	562	685	627	651
RP11-131L23.1	5	4	7	4	8	6
DDAH1	1816	1601	2029	2366	1872	2124
RP11-131L23.2	0	1	0	0	4	2
RP11-290M5.4	2	1	1	0	4	2
CYR61	13059	13083	12526	9550	8741	8015
RP11-290M5.2	4	2	3	3	8	4
ZNHIT6	1954	2236	2053	2544	2693	2234
COL24A1	33	32	23	31	39	46
ODF2L	773	1071	826	810	925	727
CLCA2	3	12	3	14	8	8
CLCA1	6	8	4	6	6	8
CLCA4	4	4	5	6	8	6
RP4-651E10.4	1	1	0	3	1	1
RP4-612B15.3	13	9	13	12	6	9
SH3GLB1	1766	1890	1608	1710	1610	1442
SEP15	1776	2056	1964	2068	1829	1680
HS2ST1	1376	1632	1324	954	971	832
RP4-604K5.3	0	2	1	0	1	3
RP4-604K5.2	1	0	0	0	0	0
RP5-1052I5.2	0	1	0	0	0	1
LINC01140	4	0	3	1	5	3
LMO4	581	613	617	698	661	635
RP4-544H6.2	0	0	3	0	0	3
RP5-1027O11.1	1	2	2	0	2	1
RP11-76N22.2	6	7	2	3	5	3
PKN2	1982	2302	1769	2053	1983	1696
GTF2B	564	571	566	572	461	475
CCBL2	349	448	358	316	333	309
RBMXL1	392	402	394	406	397	375
GBP3	29	28	20	45	70	30
GBP1	6	6	8	7	14	11
GBP2	13	11	11	12	9	7
GBP7	5	1	3	3	4	2
GBP4	18	26	14	43	58	19
GBP5	9	11	9	6	13	6
GBP6	1	10	1	4	5	8
LRRC8B	803	806	855	1039	881	888
RP5-1007M22.2	32	25	22	20	24	29
LRRC8C	512	560	615	711	580	632
RP5-943J3.2	4	4	8	8	7	5
LRRC8D	660	711	786	851	716	749
RP11-302M6.5	2	0	0	1	0	0
ZNF326	817	862	804	788	768	688
RP5-827O9.1	4	3	0	0	0	1
BARHL2	3	1	2	3	4	3
RP4-665J23.1	9	17	13	7	13	16
RP4-665J23.2	2	1	0	0	0	3
RP4-665J23.4	0	2	0	0	3	1
ZNF644	1357	1429	1314	1533	1345	1229
HFM1	7	23	9	15	21	13
CDC7	578	577	634	711	618	645
TGFBR3	190	210	165	217	199	186
BRDT	6	5	5	6	10	7
EPHX4	3	3	3	3	2	2
BTBD8	11	6	9	7	12	5
KIAA1107	13	28	16	17	36	20
RP4-621B10.8	1	2	1	0	2	1
C1orf146	4	1	0	3	6	3
GLMN	161	187	173	198	166	178
RPAP2	305	320	337	325	290	289
GFI1	10	7	7	7	11	9
EVI5	180	232	240	232	227	242
RPL5	7890	8795	9090	8430	7824	8167
FAM69A	168	199	110	149	151	105
MTF2	430	439	458	565	513	503
TMED5	986	1117	1017	995	906	865
CCDC18	197	251	214	182	176	219
DR1	907	833	948	1268	1097	1036
FNBP1L	910	1218	963	770	907	676
BCAR3	1115	942	1136	1189	805	979
RP5-1033H22.2	5	7	17	11	11	14
RP4-561L24.3	17	10	7	14	9	9
DNTTIP2	1224	1249	1310	1311	1003	1208
GCLM	751	524	628	948	614	697
ABCA4	26	28	25	29	39	42
RP11-78O9.1	0	2	3	0	0	0
ARHGAP29	3953	4571	3602	4924	4853	4041
RP11-148B18.1	3	2	0	0	1	0
RP11-148B18.4	5	7	3	9	11	11
RP11-148B18.3	6	10	4	7	3	10
ABCD3	746	864	713	747	734	651
F3	46	39	48	59	45	50
RP11-86H7.6	2	1	2	2	2	2
RP11-86H7.7	0	2	2	4	1	1
LINC01057	6	5	3	7	10	4
SLC44A3	10	24	8	16	26	14
CNN3	813	965	854	880	850	756
RP4-639F20.1	12	23	20	11	12	12
ALG14	85	103	109	86	61	104
RP11-313A24.1	1	0	0	1	1	2
TMEM56	83	113	81	103	116	84
TMEM56-RWDD3	0	0	1	0	1	0
RP11-57H12.3	4	6	1	4	4	4
RWDD3	28	41	30	27	46	38
RP11-57H12.5	4	6	9	6	8	3
RP4-586O15.1	0	0	0	3	1	3
RP11-14O19.1	1	0	0	1	1	0
RP11-14O19.2	2	1	1	1	3	0
RP4-617C6.1	3	1	2	1	2	4
RP11-286B14.1	4	3	4	3	8	5
RP11-286B14.2	0	0	0	1	1	2
RP11-147C23.1	3	3	3	2	4	4
RP5-898J17.1	4	3	2	4	1	4
